crisis,momento,periodo_crisis,bloque,gba,hogares,hogares_expandidos,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,ratio_itf_linea_mediana,brecha_pobreza_rel_media_pobres,adulto_equiv_media,n_integrantes_media,n_menores_18_media,prop_menores_media,n_ocupados_media,n_perceptores_media,adulto_equiv_por_perceptor_media
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,CABA,5769,8169337,0.061015773964291906,0.06613927176709689,3.9216503108734884,0.4490303970614446,2.0305286878141793,2.52764777257757,0.4954064829259837,0.12404756652026543,1.2835846767204022,1.6975212341827006,1.2441549098547173
Crisis 2009,Antes,Antes de crisis 2009,2007-2011,Partidos del GBA,13575,19695447,0.1868876611418048,0.19690256331831413,2.0746073407655663,0.3897133384981856,2.749494659300184,3.4394843462246776,1.0299815837937385,0.21686501110680506,1.4407366482504604,1.8589318600368323,1.62871607244577
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,CABA,6320,9574711,0.04129746835443038,0.049535072129070004,4.42029354370999,0.4648367718727585,1.9491518987341772,2.437658227848101,0.475,0.11876708997753302,1.2786392405063292,1.7128164556962024,1.1748477839587799
Crisis 2009,Despues,Despues de crisis 2009,2007-2011,Partidos del GBA,14938,23812007,0.13294952470210203,0.1417744417763694,2.380141115782534,0.3800606351507812,2.6463469005221585,3.3155040835453207,0.9523363234703441,0.2040179688959843,1.3931583880037488,1.922546525639309,1.4808752156979939
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,CABA,4880,10090718,0.09221311475409837,0.0793306284052334,2.876361001739628,0.41355709827706855,1.8312950819672131,2.2975409836065572,0.47274590163934427,0.12162356712049335,1.139139344262295,1.6114754098360655,1.1495186983471075
Crisis 2020,Antes,Antes de crisis 2020,2018-2022,Partidos del GBA,13933,30360217,0.3004378095169741,0.28598122338848897,1.524916427623031,0.4213866100630751,2.4205533625206344,3.042058422450298,0.9065527883442187,0.20697777425330716,1.1647168592550061,1.7316442977104716,1.4844786903318903
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,CABA,3315,9840998,0.10256410256410256,0.11099250299613922,2.6554591583027873,0.4051324275461101,1.7034328808446455,2.1085972850678734,0.37073906485671193,0.10482690512102276,1.0769230769230769,1.541478129713424,1.1134695811678386
Crisis 2020,Despues,Despues de crisis 2020,2018-2022,Partidos del GBA,7709,31209615,0.3161240108963549,0.34754219172521034,1.454554128977351,0.4033529437970952,2.232414061486574,2.7875210792580103,0.7431573485536386,0.17763373033187535,1.115708911661694,1.6786872486703852,1.397507100536067
