anio,trimestre,meses_cifra,ipc_cifra_trimestral,ipc_base_2007_t1,cbt_base_2007_t1,cbt_cifra_adulto_equiv,fuente_ipc
2007,1,3,22.28563736167482,22.28563736167482,296.8133333333333,296.8133333333333,IPC-CIFRA Provincias
2007,2,3,23.468928806532666,22.28563736167482,296.8133333333333,312.5731104648175,IPC-CIFRA Provincias
2007,3,3,25.472868750881972,22.28563736167482,296.8133333333333,339.2627709411662,IPC-CIFRA Provincias
2007,4,3,26.992505950986764,22.28563736167482,296.8133333333333,359.50220028753597,IPC-CIFRA Provincias
2008,1,3,28.33969643986656,22.28563736167482,296.8133333333333,377.44488207625756,IPC-CIFRA Provincias
2008,2,3,30.84496870848486,22.28563736167482,296.8133333333333,410.8115837275616,IPC-CIFRA Provincias
2008,3,3,32.306846908200924,22.28563736167482,296.8133333333333,430.28174445678786,IPC-CIFRA Provincias
2008,4,3,33.23416297578262,22.28563736167482,296.8133333333333,442.6322897252763,IPC-CIFRA Provincias
2009,1,3,34.02841858631454,22.28563736167482,296.8133333333333,453.21065692450645,IPC-CIFRA Provincias
2009,2,3,35.101058928234075,22.28563736167482,296.8133333333333,467.49671705310124,IPC-CIFRA Provincias
2009,3,3,36.080161564394004,22.28563736167482,296.8133333333333,480.5369865503449,IPC-CIFRA Provincias
2009,4,3,37.6751577920801,22.28563736167482,296.8133333333333,501.7800921124837,IPC-CIFRA Provincias
2010,1,3,40.49281767149974,22.28563736167482,296.8133333333333,539.3073572042321,IPC-CIFRA Provincias
2010,2,3,43.06396485928469,22.28563736167482,296.8133333333333,573.5514200915464,IPC-CIFRA Provincias
2010,3,3,44.77061902044455,22.28563736167482,296.8133333333333,596.2816522226769,IPC-CIFRA Provincias
2010,4,3,47.46182884193707,22.28563736167482,296.8133333333333,632.1247804605209,IPC-CIFRA Provincias
2011,1,3,50.01332771225166,22.28563736167482,296.8133333333333,666.1071554046941,IPC-CIFRA Provincias
2011,2,3,52.87757030214475,22.28563736167482,296.8133333333333,704.2548366571713,IPC-CIFRA Provincias
2011,3,3,55.69208026749877,22.28563736167482,296.8133333333333,741.7401493255558,IPC-CIFRA Provincias
2011,4,3,58.30427661834391,22.28563736167482,296.8133333333333,776.530929307863,IPC-CIFRA Provincias
2012,1,3,61.15954412503703,22.28563736167482,296.8133333333333,814.5590750802329,IPC-CIFRA Provincias
2012,2,3,65.26231583121681,22.28563736167482,296.8133333333333,869.202221527151,IPC-CIFRA Provincias
2012,3,3,70.30038451590148,22.28563736167482,296.8133333333333,936.302207746758,IPC-CIFRA Provincias
2012,4,3,74.02385038090922,22.28563736167482,296.8133333333333,985.8935340799428,IPC-CIFRA Provincias
2013,1,3,78.12126998269227,22.28563736167482,296.8133333333333,1040.4653980268113,IPC-CIFRA Provincias
2013,2,3,82.09957989347446,22.28563736167482,296.8133333333333,1093.4508884791944,IPC-CIFRA Provincias
2013,3,3,87.55224552963178,22.28563736167482,296.8133333333333,1166.072722746462,IPC-CIFRA Provincias
2013,4,3,93.63287898406759,22.28563736167482,296.8133333333333,1247.0582047902942,IPC-CIFRA Provincias
2014,1,3,104.46619157260973,22.28563736167482,296.8133333333333,1391.342685788665,IPC-CIFRA Provincias
2014,2,3,114.10189503496133,22.28563736167482,296.8133333333333,1519.6766982854558,IPC-CIFRA Provincias
2014,3,3,121.67494576600986,22.28563736167482,296.8133333333333,1620.5390785937038,IPC-CIFRA Provincias
2014,4,3,129.2280257357276,22.28563736167482,296.8133333333333,1721.1354764602747,IPC-CIFRA Provincias
2015,1,3,135.78366219814356,22.28563736167482,296.8133333333333,1808.4473302319536,IPC-CIFRA Provincias
2015,2,3,143.6997413859031,22.28563736167482,296.8133333333333,1913.8783669358984,IPC-CIFRA Provincias
2015,3,3,151.98727829641,22.28563736167482,296.8133333333333,2024.2566978586144,IPC-CIFRA Provincias
2015,4,3,161.7971798871263,22.28563736167482,296.8133333333333,2154.9107843250763,IPC-CIFRA Provincias
2016,1,3,180.81697808189864,22.28563736167482,296.8133333333333,2408.227735054343,IPC-CIFRA Provincias
2016,2,3,205.19936712744715,22.28563736167482,296.8133333333333,2732.9668506465714,IPC-CIFRA Provincias
2016,3,3,217.56912782454583,22.28563736167482,296.8133333333333,2897.714658638615,IPC-CIFRA Provincias
2016,4,3,228.4878653395118,22.28563736167482,296.8133333333333,3043.1368794624227,IPC-CIFRA Provincias
2017,1,3,241.92214287556567,22.28563736167482,296.8133333333333,3222.062553953502,IPC-CIFRA Provincias
2017,2,3,258.04399678887785,22.28563736167482,296.8133333333333,3436.7829643175523,IPC-CIFRA Provincias
2017,3,3,270.82619028021253,22.28563736167482,296.8133333333333,3607.0237968278757,IPC-CIFRA Provincias
2017,4,3,284.39860078331145,22.28563736167482,296.8133333333333,3787.7892080842307,IPC-CIFRA Provincias
2018,1,3,303.5576007703526,22.28563736167482,296.8133333333333,4042.9601308268952,IPC-CIFRA Provincias
2018,2,3,328.83980586022886,22.28563736167482,296.8133333333333,4379.683530070936,IPC-CIFRA Provincias
2018,3,3,365.570676029049,22.28563736167482,296.8133333333333,4868.887039672605,IPC-CIFRA Provincias
2018,4,3,416.9399325009918,22.28563736167482,296.8133333333333,5553.053258338311,IPC-CIFRA Provincias
