etapa_crisis,hogares,hogares_pobres,hogares_no_pobres,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,ratio_itf_cbt_mediana
Antes de crisis 2009,18510,2018,16492,0.10902215018908698,0.11622960365183291,3.0292274644694963
Antes de crisis 2020,18131,4306,13825,0.2374937951574651,0.22543303297763212,1.7997900184985418
Despues de crisis 2009,20309,930,19379,0.04579250578561229,0.049585577057379406,4.621600470513162
Despues de crisis 2020,10803,2675,8128,0.2476164028510599,0.28564492430337657,1.7147167870871436
