anio,hogares,hogares_pobres,hogares_no_pobres,tasa_pobreza_no_ponderada,tasa_pobreza_ponderada,ratio_itf_cbt_mediana
2007,7917,1073,6844,0.13553113553113552,0.1453081004301494,2.6962011261460184
2008,10593,945,9648,0.08920985556499575,0.0944708573196701,3.274968358767242
2010,10087,535,9552,0.05303856448894617,0.0565883800183535,4.193845159258369
2011,10222,395,9827,0.038642144394443356,0.04268892193320612,5.052704707435423
2018,8984,1947,7037,0.2167186108637578,0.20424692644987624,1.880739322990006
2019,9147,2359,6788,0.2578987646222805,0.24573225169318358,1.7127630554275193
2021,4424,1070,3354,0.2418625678119349,0.28552653367275055,1.7446864559795014
2022,6379,1605,4774,0.25160683492710456,0.28575666114780085,1.6924904525446336
