crisis,momento,mecanismo,CABA,Partidos del GBA,brecha,direccion,brecha_vulnerabilidad,brecha_estandarizada
Crisis 2009,Antes,Tasa de pobreza,0.06613927176709689,0.19690256331831413,0.13076329155121724,1,0.13076329155121724,-0.5372664083127374
Crisis 2009,Antes,Brecha relativa de pobreza,0.4446043948711903,0.3930912839342928,-0.05151311093689748,1,-0.05151311093689748,-0.4829112306805551
Crisis 2009,Antes,Adultos equivalentes,2.0364155732588824,2.801156165178683,0.7647405919198005,1,0.7647405919198005,1.0933312948403138
Crisis 2009,Antes,Presencia de menores,0.32547610656776677,0.5297467480682211,0.20427064150045432,1,0.20427064150045432,0.7797577720033129
Crisis 2009,Antes,Perceptores por integrante,0.7615875455953328,0.6243650706274001,-0.13722247496793272,-1,0.13722247496793272,0.8961632492347835
Crisis 2009,Antes,Ingreso por adulto equivalente,1972.265104123058,988.0612445116063,-984.2038596114518,-1,984.2038596114518,-0.7229728896061886
Crisis 2009,Antes,Pobreza con jefe ocupado,0.06271395471617215,0.1832948646072305,0.12058090989105834,1,0.12058090989105834,-0.633151025592946
Crisis 2009,Después,Tasa de pobreza,0.049535072129070004,0.1417744417763694,0.09223936964729938,1,0.09223936964729938,-1.1156147464670187
Crisis 2009,Después,Brecha relativa de pobreza,0.4552439888974674,0.3763165763397585,-0.07892741255770891,1,-0.07892741255770891,-1.1264183595816495
Crisis 2009,Después,Adultos equivalentes,1.9930380373882823,2.724227386628939,0.7311893492406567,1,0.7311893492406567,0.45362176832249934
Crisis 2009,Después,Presencia de menores,0.31345008742300423,0.5108088956970321,0.1973588082740279,1,0.1973588082740279,0.4985485679787659
Crisis 2009,Después,Perceptores por integrante,0.7837876255104984,0.6612489461549018,-0.12253867935559659,-1,0.12253867935559659,-0.23222184745382393
Crisis 2009,Después,Ingreso por adulto equivalente,3620.6269320301344,1957.4214418819727,-1663.2054901481617,-1,1663.2054901481617,-0.6890999469109963
Crisis 2009,Después,Pobreza con jefe ocupado,0.041535090442060975,0.13451494943886508,0.09297985899680411,1,0.09297985899680411,-1.0517603138600027
Crisis 2020,Antes,Tasa de pobreza,0.0793306284052334,0.28598122338848897,0.20665059498325555,1,0.20665059498325555,0.6020074157904498
Crisis 2020,Antes,Brecha relativa de pobreza,0.4140931751559277,0.40385994083254284,-0.010233234323384854,1,-0.010233234323384854,0.4860682183814297
Crisis 2020,Antes,Adultos equivalentes,1.8851276242186137,2.5754818590394133,0.6903542348207996,1,0.6903542348207996,-0.32496673168158474
Crisis 2020,Antes,Presencia de menores,0.2811179541436001,0.4705295749368326,0.18941162079323254,1,0.18941162079323254,0.1752157859949955
Crisis 2020,Antes,Perceptores por integrante,0.8131319870943999,0.6791326798263685,-0.13399930726803144,-1,0.13399930726803144,0.6484769906735973
Crisis 2020,Antes,Ingreso por adulto equivalente,32661.649194097565,17245.275754832033,-15416.373439265531,-1,15416.373439265531,-0.0030039953452074236
Crisis 2020,Antes,Pobreza con jefe ocupado,0.07261797600422303,0.2778569342388209,0.20523895823459787,1,0.20523895823459787,0.6508089764714861
Crisis 2020,Después,Tasa de pobreza,0.11099250299613922,0.34754219172521034,0.23654968872907112,1,0.23654968872907112,1.0508737389893061
Crisis 2020,Después,Brecha relativa de pobreza,0.3770540913602384,0.3939661744952276,0.01691208313498921,1,0.01691208313498921,1.123261371880775
Crisis 2020,Después,Adultos equivalentes,1.9668545202427639,2.610162211228815,0.6433076909860513,1,0.6433076909860513,-1.2219863314812327
Crisis 2020,Después,Presencia de menores,0.3634263516769336,0.5128052685045938,0.14937891682766025,1,0.14937891682766025,-1.453522125977072
Crisis 2020,Después,Perceptores por integrante,0.7700047365743848,0.6615227700684082,-0.10848196650597663,-1,0.10848196650597663,-1.312418392454557
Crisis 2020,Después,Ingreso por adulto equivalente,95630.78978616366,51788.21191076937,-43842.57787539429,-1,43842.57787539429,1.4150768318623925
Crisis 2020,Después,Pobreza con jefe ocupado,0.10146978147118348,0.3319812326126844,0.23051145114150096,1,0.23051145114150096,1.0341023629814632
