crisis,CABA,Partidos del GBA,brecha_rel,etiqueta_brecha,y_etiqueta
Crisis 2009,0.9933333333333333,1.27,0.2785234899328859,GBA: +28% vs CABA,1.37
Crisis 2020,1,1.2650000000000001,0.2650000000000001,GBA: +27% vs CABA,1.3650000000000002
